cdf_offer_id,cdf_merchant_id,offer_name,merchant_description,category,curated_image,Tags,city,differentiating_tags,common_tags,differentiating_tags_str,common_tags_str
233888,AC2996,Airalo,"Airalo Is The World’S First Esim Store That Solves The Pain Of High Roaming Bills By Giving You Access To Esims (Digital Sim Cards). With Esims From Airalo, Download And Install A Digital Data Pack From 200+ Countries/Regions And Be Connected Anywhere In The World The Second You Land.",personal service providers,https://dpimages.crayondata.com/high-res-image/resized/airalo_merchant.webp,telecommunication|mobile-network-services|online,all,"['telecommunication', 'mobile-network-services', 'online']",[],telecommunication|mobile-network-services|online,
68730,AC2942,Aldo,Aldo offers products under apparel and accessories category. For more info about the brand visit https://www.aldoshoes.me/ae,apparel and accessories,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/BO188_1_Aldo_Card.webp.webp,accessories-store|footwear-store|men's-shoes|bags-and-wallets|belts|casual-shoes|casual-bags|wallets|boots|flats|sandals|flipflops|loafers|satchels-and-shoulder-bags|clutches|western-clothing|boutique-store|modern|self-service|large-product-range|premium|international,all,"[""men's-shoes"", 'boutique-store', 'self-service', 'premium', 'clutches', 'wallets', 'belts', 'loafers', 'boots', 'flats', 'satchels-and-shoulder-bags', 'international']","['accessories-store', 'footwear-store', 'casual-shoes', 'sandals', 'large-product-range', 'regular-retail-store', 'basic-service', 'online-and-in-store', 'daily-clothing', 'clothing-store', 'casual-wear', 'outerwear', 'jeans', 't-shirts', 'active-and-sports-wear', 'jackets-and-blazers']",men's-shoes|boutique-store|self-service|premium|clutches|wallets|belts|loafers|boots|flats|satchels-and-shoulder-bags|international,accessories-store|footwear-store|casual-shoes|sandals|large-product-range|regular-retail-store|basic-service|online-and-in-store|daily-clothing|clothing-store|casual-wear|outerwear|jeans|t-shirts|active-and-sports-wear|jackets-and-blazers
1351,AC88,Mumzworld,"Shop online Baby Products, best Stroller, Travel Gear, Feeding, Clothes, Toys, Car Seat, Carrier & Cot on Mumzworld",apparel and accessories,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/AC88_2_Mumzworld_New_Image.webp.webp,large-product-range|gifts-and-souvenirs|home-furnishings|stationery|regular-retail-store|basic-service|apparel-and-accessories|cosmetics-and-skincare|confectionery|multi-brand|food-beverages-and-groceries|toys|books-and-music|home-and-kitchen|health-and-beauty|kids-furniture|sporting-equipment|personal-care|kitchen-appliances|kids-utilities|apparel-and-accessories|toys-and-games|school-and-office-supplies|delivery-service|online|books|children's-clothings|casual-bags|home-appliances|kids-utilities|toy-ptoducts,all,"['gifts-and-souvenirs', 'home-furnishings', 'stationery', 'cosmetics-and-skincare', 'confectionery', 'multi-brand', 'food-beverages-and-groceries', 'toys', 'books-and-music', 'home-and-kitchen', 'sporting-equipment', 'kitchen-appliances']","['accessories-store', 'footwear-store', 'casual-shoes', 'sandals', 'large-product-range', 'regular-retail-store', 'basic-service', 'online-and-in-store', 'daily-clothing', 'clothing-store', 'casual-wear', 'outerwear', 'jeans', 't-shirts', 'active-and-sports-wear', 'jackets-and-blazers']",gifts-and-souvenirs|home-furnishings|stationery|cosmetics-and-skincare|confectionery|multi-brand|food-beverages-and-groceries|toys|books-and-music|home-and-kitchen|sporting-equipment|kitchen-appliances,accessories-store|footwear-store|casual-shoes|sandals|large-product-range|regular-retail-store|basic-service|online-and-in-store|daily-clothing|clothing-store|casual-wear|outerwear|jeans|t-shirts|active-and-sports-wear|jackets-and-blazers
45830,BO1047,Crocs,"A World Leader In Innovative, Casual Footwear, Crocs, Inc. Is Dedicated To The Future Of Comfort. Our Original And Most Famous Style, The Classic Clogs, Are Instantly Recognized Around The World, And For Good Reason: Since 2002, We’Ve Sold More Than 300 Million Pairs In Over 90 Countries!",apparel and accessories,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/BO1047_1_Crocs_Offer.webp.webp,footwear-store|men-women-children-shoes|formal-shoes|work-shoes|ethnic-shoes|loafers|flipflops|sandals|designer-label|regular-retail-store|modern|basic-service|large-product-range|average-pricing|online-and-in-store|international,all,"['work-shoes', 'ethnic-shoes', 'designer-label', 'average-pricing', 'formal-shoes', 'loafers', 'international', 'flipflops', 'men-women-children-shoes', 'modern']","['accessories-store', 'footwear-store', 'casual-shoes', 'sandals', 'large-product-range', 'regular-retail-store', 'basic-service', 'online-and-in-store', 'daily-clothing', 'clothing-store', 'casual-wear', 'outerwear', 'jeans', 't-shirts', 'active-and-sports-wear', 'jackets-and-blazers']",work-shoes|ethnic-shoes|designer-label|average-pricing|formal-shoes|loafers|international|flipflops|men-women-children-shoes|modern,accessories-store|footwear-store|casual-shoes|sandals|large-product-range|regular-retail-store|basic-service|online-and-in-store|daily-clothing|clothing-store|casual-wear|outerwear|jeans|t-shirts|active-and-sports-wear|jackets-and-blazers
1700,AC53,Gap,Gap offers products under apparel and accessories category. For more info about the brand visit https://www.gap.ae/,apparel and accessories,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/AC53_4_Gap_New_Image.webp.webp,men-women-children-clothing|girl's-clothing|daily-clothing|clothing-store|sleep-wear|casual-wear|outerwear|dresses|pants|infant's-clothing|jeans|t-shirts|shirts|regular-retail-store|international|boy's-clothing|western-clothing|online-and-in-store|winter-wear|active-and-sports-wear|swim-and-beach-wear|sweaters,all,"[""girl's-clothing"", ""infant's-clothing"", ""boy's-clothing"", 'sleep-wear', 'pants', 'international', 'swim-and-beach-wear', 'sweaters', 'men-women-children-clothing', 'dresses', 'shirts', 'winter-wear']","['accessories-store', 'footwear-store', 'casual-shoes', 'sandals', 'large-product-range', 'regular-retail-store', 'basic-service', 'online-and-in-store', 'daily-clothing', 'clothing-store', 'casual-wear', 'outerwear', 'jeans', 't-shirts', 'active-and-sports-wear', 'jackets-and-blazers']",girl's-clothing|infant's-clothing|boy's-clothing|sleep-wear|pants|international|swim-and-beach-wear|sweaters|men-women-children-clothing|dresses|shirts|winter-wear,accessories-store|footwear-store|casual-shoes|sandals|large-product-range|regular-retail-store|basic-service|online-and-in-store|daily-clothing|clothing-store|casual-wear|outerwear|jeans|t-shirts|active-and-sports-wear|jackets-and-blazers
7126,AD2057,Swarovski,Swarovski offers products under retail stores category. For more info about the brand visit https://www.swarovski.ae/,retail stores,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/AD2057_2_Swarovski_New_Image.webp.webp,large-product-range|jewellery-and-watch-store|crystals|accessories-store|bracelets|fine-jewellery|rings|online-and-in-store|luxury-watches|necklaces|regular-retail-store|international|basic-service|hair-accessories|sunglasses,all,"['crystals', 'fine-jewellery', 'jewellery-and-watch-store', 'bracelets', 'rings', 'necklaces', 'hair-accessories', 'luxury-watches', 'sunglasses', 'accessories-store', 'international', 'large-product-range']","['online-and-in-store', 'regular-retail-store', 'basic-service']",crystals|fine-jewellery|jewellery-and-watch-store|bracelets|rings|necklaces|hair-accessories|luxury-watches|sunglasses|accessories-store|international|large-product-range,online-and-in-store|regular-retail-store|basic-service
17848,AC11,American Eagle,"American Eagle Outfitters, Inc. (NYSE: AEO) is a leading global specialty retailer offering high-quality, on-trend clothing, accessories and personal care products at affordable prices under its American Eagle? and Aerie? brands.",apparel and accessories,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/AC11_3_American_Eagle_New_Image.webp.webp,men-and-women's-clothing|casual-wear|regular-retail-store|shirts|daily-clothing|t-shirts|flipflops|sandals|basic-service|accessories-store|winter-wear|online-and-in-store|occasional-clothing|casual-shoes|jackets-and-blazers|outerwear|clothing-store|western-clothing|modern|men-and-women's-shoes|large-product-range|sunglasses|sweaters|dresses,all,"[""men-and-women's-shoes"", ""men-and-women's-clothing"", 'sunglasses', 'sweaters', 'shirts', 'flipflops', 'winter-wear', 'dresses', 'occasional-clothing', 'western-clothing', 'modern']","['accessories-store', 'footwear-store', 'casual-shoes', 'sandals', 'large-product-range', 'regular-retail-store', 'basic-service', 'online-and-in-store', 'daily-clothing', 'clothing-store', 'casual-wear', 'outerwear', 'jeans', 't-shirts', 'active-and-sports-wear', 'jackets-and-blazers']",men-and-women's-shoes|men-and-women's-clothing|sunglasses|sweaters|shirts|flipflops|winter-wear|dresses|occasional-clothing|western-clothing|modern,accessories-store|footwear-store|casual-shoes|sandals|large-product-range|regular-retail-store|basic-service|online-and-in-store|daily-clothing|clothing-store|casual-wear|outerwear|jeans|t-shirts|active-and-sports-wear|jackets-and-blazers
25463,LL4,Al Mahatta Cafe - Sheraton Sharjah Beach Resort & Spa,"This refined venue serves nothing but the best Julius Meinl specialty coffee, accompanied by decadent desserts and sweet treats. Surrounded by elegant wood furnishings and muted tones, you can enjoy catching up on the latest sporting events. Al Mahattah is the perfect combination of refinement and class but also provides the weary traveler a moment to sit down, unwind or even catch up with a game.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL4_Al_Mahatta_Cafe_Sheraton_Sharjah_Beach_Resort_&_Spa_New_Image.webp.webp,outdoor-seating|buffet|cafe|valet-parking|live-entertainment|accepts-cards|wheelchair-access|large-group-friendly|couple-friendly|modern-design|fine-dining|average-pricing|booking-and-reservations|afternoon-tea|wifi|dine-in|international-cuisine|cafe,Sharjah,"['afternoon-tea', 'live-entertainment', 'fine-dining', 'wheelchair-access', 'modern-design', 'international-cuisine', 'buffet', 'valet-parking', 'outdoor-seating', 'cafe', 'booking-and-reservations', 'wifi']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",afternoon-tea|live-entertainment|fine-dining|wheelchair-access|modern-design|international-cuisine|buffet|valet-parking|outdoor-seating|cafe|booking-and-reservations|wifi,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25464,LL49,Cocina Restaurant - Jannah Burj Al Sarab Abu Dhabi,"Cocina all - day dining restaurant is the place to be for foodies with discerning palates. The culinary team prepares delectable dishes spanning across the Middle East, Asia and Europe.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL49_Cocina_Restaurant_Jannah_Burj_Al_Sarab_Abu_Dhabi_New_Image.webp.webp,breakfast|international-cuisine|restaurant|average-pricing|accepts-cards|dine-in|large-group-friendly|casual-dining|take-away,Abu Dhabi,"['international-cuisine', 'average-pricing', 'breakfast', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",international-cuisine|average-pricing|breakfast|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25465,LL56,Feta Restaurant - Jannah Marina Hotel Apartments,"Feta Restaurant will bring a renewed approach to dining experiences with their all-day dining artistic menu serving the freshest ingredients and imaginative creations by the Chef, presenting the Mediterranean fares with daring and quality dishes guaranteed to tantalize your palate.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL56_Feta_Restaurant_Jannah_Marina_Hotel_Apartments_New_Image.webp.webp,breakfast|restaurant|middle-eastern-cuisine|average-pricing|delivery-services|valet-parking|accepts-cards|dine-in|large-group-friendly|casual-dining|take-away|arabian-cuisine|buffet,Dubai,"['buffet', 'middle-eastern-cuisine', 'valet-parking', 'arabian-cuisine', 'average-pricing', 'breakfast', 'delivery-services', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",buffet|middle-eastern-cuisine|valet-parking|arabian-cuisine|average-pricing|breakfast|delivery-services|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
